Ticker,Sector,Last Close,52W High,% From High,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
SCSC,Other,50.87,53.14,-4.27,58.4,0.9,2026-07-01,,,,,,,N,N,0
SENEA,Other,183.98,185.9,-1.03,73.6,0.6,2026-07-02,,,,,,,N,N,0
SFNC,Other,22.84,23.4,-2.39,62.1,0.6,2026-07-02,,,,,,,N,N,0
SFST,Other,61.19,63.75,-4.02,48.6,0.7,2026-07-02,,,,,,,N,N,0
SHBI,Other,23.03,23.58,-2.33,58.7,0.8,2026-07-02,,,,,,,N,N,0
SIGI,Other,100.15,100.3,-0.15,83.2,0.6,2026-07-02,,,,,,,N,N,0
SILC,Other,42.59,52.95,-19.57,41.8,2.1,2026-06-30,,,,,,,N,N,0
SIRI,Other,30.51,30.61,-0.33,86.5,0.8,2026-07-02,,,,,,,N,N,0
SKWD,Other,61.42,62.2,-1.25,80.5,1.7,2026-07-02,,,,,,,N,N,0
SLDB,Other,10.84,10.88,-0.37,84.8,0.9,2026-07-02,,,,,,,N,N,0
SLDE,Other,21.25,21.79,-2.48,81.6,2.6,2026-07-02,,,,,,,N,N,0
SLN,Other,10.39,11.06,-6.06,81.0,1.2,2026-07-01,,,,,,,N,N,0
SLS,Other,14.98,15.88,-5.67,79.7,1.6,2026-06-30,,,,,,,N,N,0
SMBC,Other,76.04,78.47,-3.1,68.9,0.7,2026-07-02,,,,,,,N,N,0
SNFCA,Other,9.72,10.14,-4.14,58.2,0.3,2026-06-29,,,,,,,N,N,0
SOCA,Other,10.26,10.28,-0.19,57.1,1.2,2026-07-02,,,,,,,N,N,0
SOPH,Other,5.35,6.3,-15.08,52.8,1.1,2026-06-30,,,,,,,N,N,0
SOTK,Other,5.2,6.24,-16.67,48.8,1.4,2026-07-01,,,,,,,N,N,0
SRBK,Other,19.63,20.19,-2.77,66.1,0.5,2026-07-01,,,,,,,N,N,0
SRRK,Other,54.88,56.54,-2.94,81.4,0.9,2026-06-29,,,,,,,N,N,0
SSBI,Other,13.29,14.0,-5.07,46.3,1.9,2026-06-26,,,,,,,N,N,0
STBA,Other,49.13,50.4,-2.52,64.8,0.9,2026-07-02,,,,,,,N,N,0
STGW,Other,7.4,7.73,-4.27,66.8,0.6,2026-07-01,,,,,,,N,N,0
STHO,Other,9.23,9.29,-0.65,53.6,0.2,2026-07-01,,,,,,,N,N,0
STRZ,Other,28.99,32.58,-11.02,52.6,1.1,2026-07-01,,,,,,,N,N,0
SVA,Other,6.47,6.47,0.0,,,2026-07-02,,,,,,,N,N,0
SVCC,Other,10.58,10.58,0.0,60.0,0.2,2026-07-02,,,,,,,N,N,0
SVCO,Other,11.1,14.39,-22.86,47.9,1.2,2026-07-01,,,,,,,N,N,0
TACT,Other,5.07,6.02,-15.78,45.8,0.4,2026-06-30,,,,,,,N,N,0
TAVI,Other,10.65,11.91,-10.58,51.9,3.4,2026-06-26,,,,,,,N,N,0
TCBK,Other,54.54,55.32,-1.41,65.4,1.1,2026-07-02,,,,,,,N,N,0
TECX,Other,37.93,38.12,-0.5,81.3,3.0,2026-07-02,,,,,,,N,N,0
TENB,Other,38.6,39.43,-2.1,87.6,1.0,2026-07-01,,,,,,,N,N,0
TFSL,Other,17.84,17.99,-0.83,71.5,0.6,2026-07-01,,,,,,,N,N,0
TH,Other,18.47,20.85,-11.41,56.9,0.9,2026-06-26,,,,,,,N,N,0
THFF,Other,77.02,78.74,-2.18,65.8,1.1,2026-07-02,,,,,,,N,N,0
TIGO,Other,93.76,95.38,-1.7,53.0,0.6,2026-07-02,,,,,,,N,N,0
TILE,Other,35.67,36.66,-2.7,78.3,0.8,2026-07-01,,,,,,,N,N,0
TOI,Other,5.28,5.82,-9.28,53.5,0.6,2026-06-29,,,,,,,N,N,0
TOWN,Other,36.45,37.09,-1.73,66.8,0.7,2026-07-01,,,,,,,N,N,0
TRIN,Other,17.79,18.08,-1.6,79.9,0.9,2026-07-02,,,,,,,N,N,0
TRS,Other,42.01,45.43,-7.53,55.1,0.6,2026-07-01,,,,,,,N,N,0
TRVI,Other,17.93,19.26,-6.91,81.0,0.9,2026-06-30,,,,,,,N,N,0
TSBK,Other,44.67,45.64,-2.13,68.5,0.6,2026-07-01,,,,,,,N,N,0
TWIN,Other,22.86,24.5,-6.69,71.7,0.8,2026-06-30,,,,,,,N,N,0
TWST,Other,99.24,105.47,-5.91,78.2,0.7,2026-07-02,,,,,,,N,N,0
TXG,Other,39.01,40.08,-2.67,79.0,0.8,2026-07-01,,,,,,,N,N,0
TXRH,Other,194.28,196.86,-1.31,85.5,0.7,2026-06-26,,,,,,,N,N,0
UBSI,Other,46.38,47.25,-1.84,62.4,0.9,2026-07-02,,,,,,,N,N,0
UCTT,Other,106.48,144.22,-26.17,50.7,1.6,2026-06-30,,,,,,,N,N,0
UFCS,Other,53.93,54.42,-0.9,81.0,0.8,2026-07-02,,,,,,,N,N,0
UFPT,Other,272.36,275.2,-1.03,75.0,1.2,2026-07-01,,,,,,,N,N,0
UMBF,Other,143.8,146.6,-1.91,69.7,0.7,2026-07-01,,,,,,,N,N,0
UNTY,Other,58.12,60.86,-4.5,62.3,0.7,2026-06-26,,,,,,,N,N,0
UPC,Other,6.32,17.96,-64.81,58.7,1.1,2026-06-29,,,,,,,N,N,0
URGN,Other,38.02,39.58,-3.94,90.2,1.2,2026-07-01,,,,,,,N,N,0
USCB,Other,20.45,20.93,-2.29,64.4,0.5,2026-06-26,,,,,,,N,N,0
USEA,Other,2.66,2.72,-2.21,76.2,0.6,2026-06-30,,,,,,,N,N,0
USIO,Other,2.48,2.62,-5.34,82.9,0.7,2026-07-01,,,,,,,N,N,0
UTMD,Other,72.78,75.75,-3.92,56.5,1.5,2026-06-26,,,,,,,N,N,0
UVSP,Other,44.13,45.46,-2.93,63.8,0.7,2026-07-02,,,,,,,N,N,0
VALU,Other,39.01,40.98,-4.81,70.4,0.3,2026-06-29,,,,,,,N,N,0
VCEL,Other,46.98,47.06,-0.17,79.5,0.9,2026-07-02,,,,,,,N,N,0
VCYT,Other,57.08,60.91,-6.29,74.4,0.8,2026-06-30,,,,,,,N,N,0
VICR,Other,282.95,382.65,-26.06,47.3,1.2,2026-06-30,,,,,,,N,N,0
VLY,Other,14.59,14.94,-2.34,56.6,0.9,2026-07-02,,,,,,,N,N,0
VMD,Other,12.02,12.06,-0.33,82.5,1.1,2026-07-02,,,,,,,N,N,0
VNME,Other,10.21,10.22,-0.1,53.8,0.1,2026-07-02,,,,,,,N,N,0
VSAT,Other,83.06,93.03,-10.72,59.6,0.7,2026-07-01,,,,,,,N,N,0
VSEC,Other,232.33,237.75,-2.28,84.0,0.9,2026-07-02,,,,,,,N,N,0
WABC,Other,59.51,60.54,-1.7,66.9,0.8,2026-07-02,,,,,,,N,N,0
WAFD,Other,38.34,39.35,-2.57,65.4,0.7,2026-07-02,,,,,,,N,N,0
WEST,Other,7.06,10.19,-30.72,26.7,0.7,2026-06-26,,,,,,,N,N,0
WEYS,Other,39.49,39.98,-1.23,71.2,0.5,2026-07-02,,,,,,,N,N,0
WNEB,Other,14.47,14.72,-1.7,67.1,0.6,2026-07-02,,,,,,,N,N,0
WRLD,Other,207.98,227.68,-8.65,71.1,1.7,2026-06-30,,,,,,,N,N,0
WSBC,Other,39.64,40.26,-1.54,75.2,0.5,2026-07-02,,,,,,,N,N,0
WSBF,Other,20.6,21.03,-2.04,69.8,0.9,2026-07-02,,,,,,,N,N,0
WSFS,Other,77.17,79.13,-2.48,62.0,0.6,2026-07-02,,,,,,,N,N,0
WSTN,Other,10.09,10.11,-0.2,60.0,0.0,2026-06-29,,,,,,,N,N,0
WTBA,Other,27.09,27.62,-1.92,69.4,1.1,2026-07-01,,,,,,,N,N,0
WTG,Other,10.45,10.46,-0.1,78.6,19.2,2026-07-01,,,,,,,N,N,0
XMAX,Other,8.94,9.31,-3.97,55.4,0.6,2026-07-01,,,,,,,N,N,0
XOMA,Other,43.0,43.0,0.0,81.9,0.9,2026-07-02,,,,,,,N,N,0
ZD,Other,52.43,53.43,-1.87,75.7,0.8,2026-07-01,,,,,,,N,N,0
ZION,Other,69.35,71.26,-2.68,64.3,0.9,2026-07-02,,,,,,,N,N,0
ZVRA,Other,13.98,14.58,-4.12,64.5,0.7,2026-06-30,,,,,,,N,N,0
CPT,Real Estate,117.25,117.56,-0.26,60.6,0.6,2026-07-01,32.8,3.03,0.1,1.041,362.0,3.58,N,N,2
DOC,Real Estate,21.89,21.98,-0.41,65.5,1.0,2026-07-02,68.4,1.94,2.04,1.182,557.0,0.32,N,N,3
EQR,Real Estate,69.83,69.83,0.0,66.7,0.8,2026-07-02,27.9,2.46,0.12,0.784,402.0,2.5,N,N,3
ESS,Real Estate,298.33,299.29,-0.32,73.2,0.8,2026-07-01,33.6,3.53,0.3,1.219,347.0,8.89,N,N,2
PSA,Real Estate,329.64,329.74,-0.03,58.3,0.9,2026-07-02,34.0,11.87,0.19,1.076,364.0,9.69,N,N,2
REG,Real Estate,80.96,81.93,-1.18,54.0,0.7,2026-06-26,27.8,2.22,1.04,0.732,373.0,2.91,N,N,3
SPG,Real Estate,226.06,228.58,-1.1,64.5,0.6,2026-06-26,,,,,,,N,N,0
UDR,Real Estate,41.09,41.12,-0.07,66.3,0.5,2026-07-02,,,,,,,N,N,0
VTR,Real Estate,92.52,92.86,-0.37,78.6,1.4,2026-07-02,,,,,,,N,N,0
WELL,Real Estate,236.06,236.06,0.0,79.1,1.1,2026-07-02,,,,,,,N,N,0
AEE,Utilities,115.02,118.32,-2.79,64.9,0.7,2026-06-26,,,,,,,N,N,0
AEP,Utilities,138.51,139.33,-0.59,73.4,1.4,2026-06-29,,,,,,,N,N,0
CNP,Utilities,44.61,45.22,-1.35,66.8,1.3,2026-06-29,27.4,2.55,1.17,2.156,206.0,1.63,N,N,2
DTE,Utilities,154.06,155.06,-0.64,73.1,1.0,2026-06-29,25.3,2.6,0.95,2.188,302.0,6.09,N,N,2
EVRG,Utilities,88.13,88.18,-0.06,73.9,0.7,2026-07-02,23.4,2.0,0.45,1.556,315.0,3.76,N,N,2
LNT,Utilities,78.03,78.21,-0.23,76.1,1.0,2026-07-02,24.5,2.72,0.69,1.595,267.0,3.18,N,N,2
NI,Utilities,47.82,49.21,-2.82,57.3,1.2,2026-06-29,23.8,2.37,0.65,1.409,251.0,2.01,N,N,2
PNW,Utilities,109.37,109.52,-0.14,75.0,0.8,2026-07-02,20.4,1.88,0.6,2.13,333.0,5.36,N,N,2
WEC,Utilities,118.83,119.06,-0.19,68.0,0.5,2026-06-29,,,,,,,N,N,0
