Ticker,Sector,Last Close,52W Low,% From Low,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
ADGM,Other,0.64,0.62,3.23,23.1,2.1,2026-06-26,,,,,,,N,N,0
AEMD,Other,0.71,0.65,9.23,8.4,0.4,2026-07-01,,,,,,,N,N,0
AIFC,Other,0.6,0.54,11.11,42.1,0.7,2026-06-26,,0.09,0.82,0.032,,-7.86,N,N,2
AIRE,Other,1.88,1.81,3.87,42.6,0.6,2026-06-26,,1.22,2.13,0.035,,-5.0,N,N,3
ALPS,Other,0.59,0.56,5.36,27.6,1.3,2026-07-02,,13.09,,,,,N,N,0
ANTA,Other,5.39,4.71,14.44,35.7,1.5,2026-06-30,6.6,1.05,1.14,2.363,,0.82,N,N,3
ARAY,Other,0.25,0.25,0.0,26.3,1.1,2026-07-02,,0.73,1.42,4.373,,-0.38,N,N,1
ARKR,Other,5.85,5.6,4.46,43.6,1.0,2026-06-26,,0.66,0.88,2.769,,-1.74,N,N,1
ARTL,Other,1.11,1.03,7.77,24.4,0.5,2026-06-29,,0.15,1.79,0.108,,-29.01,N,N,2
ATXG,Other,3.53,2.91,21.31,34.5,0.2,2026-06-30,,0.13,7.47,0.081,,-6.92,N,N,3
AVAT,Other,0.52,0.44,18.18,12.6,1.4,2026-07-01,,,,,,,N,N,0
BEEP,Other,1.5,1.29,16.28,36.8,0.5,2026-06-30,,0.44,0.42,1.333,,-0.63,N,N,1
BGIN,Other,1.97,1.75,12.57,28.5,0.9,2026-06-30,,4.09,1.68,0.004,,-1.62,N,N,1
BGL,Other,0.26,0.24,8.33,20.5,0.4,2026-06-29,,-0.45,0.19,,,-1.53,N,N,1
BGMS,Other,1.06,0.57,85.96,57.9,0.0,2026-06-26,0.2,0.87,7.06,,,5.03,N,N,4
BHFAL,Other,15.64,15.13,3.37,32.3,1.2,2026-06-30,,0.14,,,,,N,N,1
BIOX,Other,0.33,0.31,6.45,23.0,0.5,2026-06-26,,0.31,0.88,2.51,,-1.05,N,N,1
BIYA,Other,0.63,0.28,125.0,33.3,0.5,2026-06-29,,0.13,5.54,0.007,,-5.11,N,N,3
BJDX,Other,1.14,1.03,10.68,11.0,0.7,2026-07-02,,0.28,2.81,0.024,,-3.74,N,N,3
BMRA,Other,1.75,1.73,1.16,24.2,0.7,2026-07-02,,1.6,2.64,0.058,,-1.61,N,N,2
