Ticker,Last Close,52W High,Date Hit
CBFV,38.31,38.39,2026-06-26
CBK,33.06,33.38,2026-07-01
CBNK,36.15,36.41,2026-07-01
CCBG,50.27,51.04,2026-06-26
CCCC,4.34,5.17,2026-06-30
CCD,25.86,25.97,2026-07-01
CCIXW,0.9,1.0,2026-07-01
CCNE,34.32,34.5,2026-07-01
CCSI,38.76,41.4,2026-07-01
CCXIU,17.56,20.25,2026-07-01
CDC,74.76,75.35,2026-06-26
CDL,77.99,78.62,2026-06-26
CDNA,29.25,29.58,2026-06-29
CDNL,86.0,96.4,2026-07-01
CENT,44.35,45.78,2026-06-25
CENTA,38.77,39.95,2026-06-26
CEPS,10.37,10.45,2026-07-01
CFA,98.89,99.26,2026-07-01
CFFI,83.89,86.18,2026-06-26
CFFN,8.62,8.63,2026-07-01
CFG,71.82,72.15,2026-07-01
CFO,80.14,80.68,2026-07-01
CGEM,17.28,19.43,2026-06-26
CGNX,71.31,72.88,2026-06-30
CGON,70.89,77.0,2026-06-30
CHCO,135.26,135.91,2026-07-01
CHMG,76.28,76.52,2026-07-01
CINF,187.21,187.79,2026-07-01
CIVB,29.0,29.04,2026-07-01
CLBK,21.27,21.59,2026-07-01
CLDX,36.78,39.16,2026-06-30
CLOA,51.72,51.79,2026-07-01
CLOV,5.39,5.59,2026-06-29
CLYM,13.29,13.69,2026-06-30
CMBO,102.61,102.62,2026-07-01
CMPS,13.29,15.4,2026-06-29
CNC,68.35,68.41,2026-07-01
CNCG,37.28,37.28,2026-07-01
CNOB,33.46,33.97,2026-07-01
CNP,43.73,45.22,2026-06-29
CNQQ,26.22,26.79,2026-06-30
CNXN,73.83,75.3,2026-07-01
COFS,34.41,34.9,2026-06-30
COHU,69.11,74.6,2026-06-30
COLB,32.51,32.72,2026-07-01
CORT,88.48,91.0,2026-07-01
COWG,39.59,40.26,2026-06-30
CPBI,19.01,19.11,2026-06-30
CPIX,7.13,7.21,2026-07-01
CPT,115.66,117.56,2026-07-01
CRAN,10.15,10.15,2026-07-01
CRAQ,10.3,10.3,2026-07-01
CRL,229.09,236.62,2026-07-01
CRWD,193.18,196.5,2026-07-01
CRWS,2.97,2.98,2026-07-01
CSB,65.7,66.32,2026-07-01
CSWC,24.04,24.08,2026-07-01
CSX,48.33,48.58,2026-07-01
CTBI,74.07,74.52,2026-07-01
CTNM,15.24,16.91,2026-06-30
CTVA,83.54,85.95,2026-07-01
CVBF,23.11,23.2,2026-07-01
CVS,104.81,106.15,2026-06-26
CWBC,27.46,27.54,2026-07-01
CYTK,85.26,88.31,2026-06-30
CZFS,74.13,74.7,2026-07-01
CZNC,24.04,24.05,2026-07-01
CZWI,23.95,24.06,2026-07-01
D,67.79,70.17,2026-06-25
DAL,93.06,95.14,2026-06-25
DAVE,383.13,404.44,2026-07-01
DDIV,45.0,45.6,2026-06-26
DEMZ,47.35,47.74,2026-06-30
DFGP,54.39,54.66,2026-06-25
DFTX,43.4,49.2,2026-06-30
DGCB,54.6,55.07,2026-06-29
DGICB,21.78,24.0,2026-06-26
DGII,74.12,76.41,2026-07-01
DGRS,59.11,59.78,2026-07-01
DGX,216.02,216.87,2026-07-01
DHC,9.24,9.66,2026-06-30
DMAA,10.64,10.65,2026-06-30
DNLI,25.98,26.35,2026-06-30
DNTH,90.21,98.7,2026-06-30
DOC,21.64,21.91,2026-06-29
DRH,11.93,12.45,2026-06-26
DRTS,12.64,13.06,2026-07-01
DTE,150.57,155.06,2026-06-29
DVA,228.03,229.8,2026-07-01
DVLU,39.51,39.96,2026-06-25
DVRE,24.5,25.31,2026-06-26
DVY,157.0,158.39,2026-06-29
DWAS,124.71,127.77,2026-06-30
DWSN,5.99,6.25,2026-07-01
DYTA,31.52,31.82,2026-06-30
EA,205.45,206.0,2026-07-01
EBC,22.63,22.75,2026-07-01
EBMT,24.43,24.66,2026-07-01
ECBK,20.28,20.5,2026-07-01
ECPG,93.79,94.6,2026-07-01
EFSC,66.9,67.53,2026-06-26
EG,359.93,364.18,2026-07-01
EGBN,28.57,29.29,2026-06-26
EGGQ,60.49,66.9,2026-06-25
ELIL,30.77,33.1,2026-06-29
ELVN,48.76,52.39,2026-06-30
EMIS,10.11,10.15,2026-06-29
EML,29.39,29.91,2026-07-01
EQ,3.04,3.54,2026-06-30
EQR,68.63,69.49,2026-07-01
ESMV,30.52,30.54,2026-07-01
ESN,19.92,20.02,2026-07-01
ESS,295.18,299.29,2026-07-01
ESTA,89.23,90.5,2026-06-26
ETON,36.63,37.5,2026-06-30
EURK,11.45,14.28,2026-06-30
EVRG,86.19,87.57,2026-06-26
EVSD,50.83,50.93,2026-06-29
EVYM,51.03,51.08,2026-06-30
EW,91.99,92.88,2026-06-29
EWTX,39.15,43.93,2026-06-25
EXEL,53.96,55.91,2026-06-29
EXTR,31.43,33.1,2026-06-30
FA,18.9,19.01,2026-07-01
FAB,101.86,102.64,2026-06-29
FAD,195.67,200.22,2026-06-30
FALN,27.12,27.14,2026-07-01
FATE,3.02,3.11,2026-07-01
FBIZ,64.76,65.15,2026-07-01
FBLA,15.25,15.46,2026-06-26
FBNC,65.35,66.06,2026-07-01
FCBC,45.64,45.78,2026-06-26
FCCO,33.28,34.01,2026-06-26
FCEF,23.99,24.09,2026-07-01
FCEL,31.89,37.88,2026-06-30
FCNCN,25.54,25.64,2026-07-01
FCTE,29.07,29.73,2026-07-01
FDBC,53.35,53.43,2026-07-01
FDIF,40.51,40.7,2026-07-01
FDMT,12.69,14.0,2026-06-30
FDSB,16.29,16.32,2026-07-01
FENC,10.34,11.31,2026-06-29
FEX,138.06,140.13,2026-06-30
FFBC,34.67,34.7,2026-07-01
FFIV,424.18,427.54,2026-06-30
FGNXP,25.85,25.85,2026-07-01
FHB,30.21,30.34,2026-07-01
FIBK,39.26,39.33,2026-07-01
FISI,40.07,40.26,2026-07-01
FITB,57.49,58.15,2026-07-01
FLNT,4.03,4.15,2026-07-01
FLXS,76.2,77.0,2026-07-01
FLYW,18.56,18.84,2026-07-01
FMAO,31.45,31.45,2026-07-01
FMB,51.37,51.41,2026-06-30
FMBH,49.35,49.64,2026-07-01
FMHI,48.52,48.56,2026-07-01
