Ticker,Sector,Last Close,52W Low,% From Low,RSI,Vol vs Avg,Date Hit
KIDZ,Other,0.68,0.63,7.94,8.2,0.0,2026-06-30
KMRK,Other,0.95,0.78,21.79,28.0,0.1,2026-06-26
KNDI,Other,0.72,0.57,26.32,54.6,0.1,2026-06-29
KUST,Other,1.08,0.85,27.06,35.2,0.2,2026-06-26
KWM,Other,0.15,0.14,7.14,11.9,0.2,2026-07-01
KXIN,Other,4.03,3.9,3.33,28.0,0.0,2026-06-30
LAB,Other,0.91,0.7,30.0,50.3,0.7,2026-06-26
LE,Other,10.88,9.56,13.81,35.5,1.2,2026-06-30
LGCL,Other,1.65,0.65,153.85,47.6,2.6,2026-06-29
LGO,Other,0.78,0.62,25.81,47.6,2.1,2026-06-29
LPSN,Other,1.93,1.8,7.22,38.8,0.8,2026-06-26
LTBR,Other,8.64,8.42,2.61,43.5,0.8,2026-06-26
MAT,Other,13.34,13.17,1.29,28.0,1.1,2026-07-02
MDXH,Other,0.48,0.4,20.0,37.2,1.0,2026-06-30
MERC,Other,0.78,0.64,21.88,40.4,3.2,2026-07-01
MGN,Other,0.13,0.12,8.33,45.1,0.0,2026-07-01
MIMI,Other,2.25,2.0,12.5,37.2,0.0,2026-06-30
MIND,Other,4.76,4.66,2.15,35.3,0.6,2026-06-30
MKZR,Other,1.78,1.62,9.88,23.4,1.0,2026-06-29
MRLN,Other,5.28,4.76,10.92,30.0,0.5,2026-06-29
MSS,Other,0.72,0.64,12.5,20.4,0.2,2026-06-26
MSTR,Other,100.77,81.81,23.18,39.2,1.2,2026-06-26
MTEK,Other,0.99,0.94,5.32,26.7,0.3,2026-07-01
MVIS,Other,0.38,0.26,46.15,52.4,0.7,2026-06-29
MVST,Other,1.12,1.07,4.67,49.2,0.8,2026-06-29
NAGE,Other,3.43,3.18,7.86,50.0,0.7,2026-06-30
NAKA,Other,3.86,3.78,2.12,35.5,1.4,2026-06-30
NCRA,Other,0.07,0.06,16.67,29.0,0.3,2026-07-02
NEGG,Other,14.91,14.54,2.54,19.7,1.1,2026-07-02
NEON,Other,0.93,0.72,29.17,29.1,0.3,2026-06-29
NEUP,Other,3.38,3.19,5.96,23.9,1.1,2026-07-01
NEXM,Other,2.42,2.2,10.0,43.2,0.5,2026-06-26
NFE,Other,0.36,0.32,12.5,26.5,0.6,2026-06-26
NHTC,Other,1.84,1.55,18.71,30.4,0.6,2026-06-26
NIVF,Other,0.46,0.43,6.98,41.3,0.1,2026-07-02
NMTC,Other,3.0,2.89,3.81,37.9,0.6,2026-06-30
NSPR,Other,0.7,0.63,11.11,45.8,1.2,2026-06-26
NTCL,Other,0.09,0.09,0.0,6.5,0.3,2026-07-02
NVX,Other,0.45,0.42,7.14,15.6,0.4,2026-06-29
NWTG,Other,0.82,0.8,2.5,27.5,0.9,2026-07-02
NXTC,Other,1.88,1.55,21.29,40.6,0.4,2026-06-26
OLED,Other,78.7,77.15,2.01,34.6,1.1,2026-07-02
OMH,Other,0.5,0.45,11.11,19.4,0.1,2026-06-30
ORBS,Other,0.71,0.68,4.41,35.2,0.5,2026-06-30
ORIO,Other,0.87,0.81,7.41,47.3,1.3,2026-07-01
OSRH,Other,0.32,0.3,6.67,24.1,1.7,2026-07-01
OYSER,Other,0.11,0.11,0.0,,0.0,2026-07-02
PATK,Other,85.03,82.35,3.25,48.7,2.4,2026-06-30
PAVS,Other,7.02,0.07,9928.57,92.0,0.0,2026-06-26
PAX,Other,11.1,10.56,5.11,38.9,0.8,2026-06-29
PFSA,Other,0.09,0.08,12.5,20.5,0.8,2026-07-02
PLCE,Other,2.9,2.76,5.07,27.5,1.0,2026-06-26
PLUR,Other,2.11,1.99,6.03,41.9,0.2,2026-06-26
PMAX,Other,1.82,1.66,9.64,45.8,0.1,2026-07-02
PRPL,Other,0.36,0.34,5.88,27.4,0.5,2026-06-30
PRSO,Other,0.82,0.76,7.89,31.6,0.8,2026-06-26
PRZO,Other,0.47,0.45,4.44,27.4,0.3,2026-06-26
PSHG,Other,1.64,1.61,1.86,39.0,1.4,2026-07-02
PSIG,Other,1.27,1.03,23.3,15.0,0.2,2026-06-29
