Ticker,Sector,Last Close,52W High,% From High,RSI,Vol vs Avg,Date Hit
CFFN,Other,8.45,8.69,-2.76,61.9,0.8,2026-07-02
CFO,Other,80.68,80.68,0.0,71.5,0.5,2026-07-01
CGEM,Other,17.63,19.43,-9.26,80.6,0.7,2026-06-26
CGNX,Other,67.8,72.88,-6.97,61.3,1.4,2026-06-30
CGON,Other,70.36,77.0,-8.62,78.5,0.6,2026-06-30
CHCO,Other,134.85,135.91,-0.78,65.5,0.7,2026-07-02
CHMG,Other,74.5,76.52,-2.64,59.0,0.6,2026-07-01
CIVB,Other,28.46,29.38,-3.13,63.9,0.8,2026-07-02
CLBK,Other,21.17,21.59,-1.95,56.9,1.3,2026-07-01
CLDX,Other,38.37,39.16,-2.02,86.3,0.5,2026-06-30
CLOA,Other,51.77,51.79,-0.04,76.4,0.9,2026-07-02
CLOV,Other,5.26,5.59,-5.9,60.3,0.6,2026-06-29
CLYM,Other,12.9,13.69,-5.77,69.3,0.7,2026-06-30
CMBO,Other,102.66,102.66,0.0,95.8,0.7,2026-07-02
CMPS,Other,13.62,15.4,-11.56,65.6,1.2,2026-06-29
CNCG,Other,36.59,37.28,-1.85,59.7,0.4,2026-07-01
CNOB,Other,32.52,33.97,-4.27,53.2,1.1,2026-07-01
CNQQ,Other,24.73,26.79,-7.69,49.2,1.3,2026-06-30
CNXN,Other,72.43,75.3,-3.81,50.1,0.8,2026-07-01
COFS,Other,33.92,34.9,-2.81,68.9,0.7,2026-06-30
COHU,Other,59.27,74.6,-20.55,50.7,1.4,2026-06-30
COLB,Other,31.72,32.77,-3.2,58.5,1.0,2026-07-02
CORT,Other,90.21,91.0,-0.87,69.9,0.8,2026-07-01
COWG,Other,38.89,40.26,-3.4,51.9,0.9,2026-06-30
CPBI,Other,18.91,19.11,-1.05,66.4,0.4,2026-06-30
CPIX,Other,6.37,7.32,-12.98,59.5,2.2,2026-07-02
CRAQ,Other,10.32,10.32,0.0,84.6,0.5,2026-07-02
CRWS,Other,2.95,3.04,-2.96,63.6,1.8,2026-07-02
CSB,Other,65.88,66.32,-0.66,62.8,1.7,2026-07-02
CSQ,Other,20.52,20.81,-1.39,62.5,0.8,2026-07-02
CSTE,Other,2.21,2.62,-15.65,77.2,4.1,2026-07-02
CSWC,Other,23.73,24.13,-1.66,58.6,0.8,2026-07-02
